resort_name,state,lifts,runs,acres,green_percent,green_acres,blue_percent,blue_acres,black_percent,black_acres,lat,lon
Snow Creek MO,Missouri,6,12,25,0.3,7.5,0.6,15,0.1,2.5,36.98,-90.36
Snow King WY,Wyoming,5,31,400,0.15,60,0.25,100,0.6,240,43.46,-110.76
Snow Ridge NY,New York,6,22,130,0.2,26,0.55,71.5,0.25,32.5,42.03,-74.09
Snow Snake MI,Michigan,6,12,40,0.3,12,0.5,20,0.2,8,44.32,-85.6
Snow Trails OH,Ohio,7,17,80,0.2,16,0.6,48,0.2,16,40.67,-82.51
Snowbasin MT UT,Utah,10,113,3000,0.2,600,0.5,1500,0.3,900,39.32,-111.09
Snowbird UT,Utah,12,89,2500,0.27,675,0.38,950,0.35,875,40.58,-111.65
Snowhaven ID,Idaho,2,9,40,0.75,30,0.25,10,0,0,45.87,-116.09
Snowmass CO,Colorado,21,91,3362,0.06,201.72,0.5,1681,0.44,1479.28,39.18,-106.94
Snowshoe Mountain WV,West Virginia ,15,60,230,0.42,96.6,0.3,69,0.28,64.4,38.61,-80.45
Snowstar IL,Illinois,6,14,28,0.25,7,0.5,14,0.25,7,40.63,-89.39
Snowy Range WY,Wyoming,5,27,250,0.3,75,0.4,100,0.3,75,41.17,-106.24
Soldier Mountain ID,Idaho,3,36,1150,0.25,287.5,0.6,690,0.15,172.5,44.71,-115.09
Solitude UT,Utah,7,65,1200,0.2,240,0.5,600,0.3,360,40.63,-111.59
Song Mountain NY,New York,5,24,100,0.58,58,0.29,29,0.13,13,42.78,-76.18
Spirit Mountain MN,Minnesota,8,22,175,0.32,56,0.32,56,0.36,63,46.71,-92.23
Spout Springs OR,Oregon,2,16,250,0.45,112.5,0.35,87.5,0.2,50,45.75,-118.05
Spring Mountain PA,Pennsylvania,6,8,100,0.4,40,0.4,40,0.2,20,40.26,-75.45
Squaw Valley CA,California,30,170,3600,0.25,900,0.45,1620,0.3,1080,36.74,-119.25
Standing Rocks WI,Wisconsin,3,5,300,0.25,75,0.5,150,0.25,75,44.43,-89.41
Steamboat CO,Colorado,18,165,2965,0.14,415.1,0.42,1245.3,0.44,1304.6,40.8,-106.95
Stevens Pass WA,Washington,10,37,1125,0.11,123.75,0.54,607.5,0.35,393.75,47.75,-121.09
Stowe Mountain VT,Vermont,13,116,485,0.16,77.6,0.59,286.15,0.25,121.25,42.75,-72.74
Stratton Mountain VT,Vermont,11,95,625,0.41,256.25,0.33,206.25,0.26,162.5,43.12,-72.9
Sugar Bowl CA,California,13,103,1650,0.17,280.5,0.45,742.5,0.38,627,39.27,-120.3
Sugar Mountain NC,North Carolina,8,20,115,0.4,46,0.4,46,0.2,23,36.12,-81.86
Sugarbush VT,Vermont,16,111,578,0.2,115.6,0.45,260.1,0.35,202.3,44.12,-72.83
Sugarloaf ME,Maine,15,145,1670,0.23,384.1,0.33,551.1,0.44,734.8,44.56,-70.43
Suicide Six VT,Vermont,3,23,100,0.3,30,0.4,40,0.3,30,44.57,-72.57
Summit OR,Oregon,2,6,70,0.75,52.5,0.25,17.5,0,0,44.63,-123.58
Sun Valley ID,Idaho,20,75,2054,0.36,739.44,0.42,862.68,0.22,451.88,43.69,-114.36
Sunburst WI,Wisconsin,9,10,35,0.2,7,0.35,12.25,0.45,15.75,43.18,-89.3
Sundance UT,Utah,5,42,450,0.2,90,0.4,180,0.4,180,40.41,-111.58
Sunday River ME,Maine,16,132,667,0.33,220.11,0.36,240.12,0.31,206.77,44.46,-70.8
Sundown Mountain IA,Iowa,6,21,55,0.4,22,0.4,22,0.2,11,41.89,-93.1
Sunlight CO ,Colorado,3,67,470,0.2,94,0.55,258.5,0.25,117.5,39.4,-107.34
Sunrise Park AZ,Arizona ,8,65,800,0.4,320,0.4,320,0.2,160,34.02,-109.53
Swain NY,New York,5,30,100,0.39,39,0.28,28,0.33,33,42.49,-77.87
Swiss Valley MI,Michigan,7,11,60,0.2,12,0.6,36,0.2,12,44.32,-85.6
Tamarack ID,Idaho,7,32,900,0.15,135,0.44,396,0.41,369,44.95,-116.39
Taos Ski NM,New Mexico,13,110,1294,0.24,310.56,0.25,323.5,0.51,659.94,36.44,-105.61
Telluride CO,Colorado,18,118,2000,0.23,460,0.36,720,0.41,820,37.94,-107.82
Terry Peak SD,South Dakota,5,30,450,0.2,90,0.6,270,0.2,90,44.33,-103.83
Teton Pass MT,Montana,3,36,114,0.45,51.3,0.35,39.9,0.2,22.8,47.97,-112.9
The Homestead MI,Michigan,5,15,16,0.25,4,0.55,8.8,0.2,3.2,42.73,-85.65
The Homestead VA,Virginia,5,9,45,0.34,15.3,0.33,14.85,0.33,14.85,38.15,-78.57
The Rock WI,Wisconsin,5,8,75,0.2,15,0.5,37.5,0.3,22.5,42.62,-89.01
The Summit at Snoqualmie WA,Washington,25,96,1981,0.14,277.34,0.45,891.45,0.41,812.21,47.75,-120.74
Thunder Ridge NY,New York,7,30,100,0.4,40,0.4,40,0.2,20,41.39,-73.23
Timber Ridge MI ,Michigan,10,15,50,0.2,10,0.7,35,0.1,5,45.08,-85.11
Timberline Four Seasons WV,West Virginia ,4,37,100,0.34,34,0.32,32,0.34,34,38.61,-80.45
Timberline OR,Oregon,9,41,1415,0.25,353.75,0.5,707.5,0.25,353.75,45.31,-121.74
Titcomb Mountain ME,Maine,2,16,45,0.3,13.5,0.4,18,0.3,13.5,44.65,-70.17
Titus Mountain NY,New York,10,42,80,0.35,28,0.36,28.8,0.29,23.2,44.76,-74.23
Toggenburg NY,New York,5,21,83,0.2,16.6,0.5,41.5,0.3,24.9,42.82,-75.96
Treetops MI,Michigan,5,23,80,0.3,24,0.5,40,0.2,16,45,-84.62
Trollhaugem WI,Wisconsin,10,22,90,0.29,26.1,0.43,38.7,0.28,25.2,43.79,-88.79
Turner Mountain MT,Montana,1,25,1000,0.1,100,0.3,300,0.6,600,48.61,-115.67
Tussey Mountain PA,Pennsylvania,5,7,50,0.3,15,0.45,22.5,0.25,12.5,39.8,-78.55
Tuxedo Ridge NY,New York,4,7,100,0.2,20,0.7,70,0.1,10,41.33,-74.12
Tyrol Basin WI,Wisconsin,6,16,24,,0,,0,,0,43.79,-88.79
Vail CO,Colorado,31,193,5289,0.18,952.02,0.29,1533.81,0.53,2803.17,39.64,-106.36
Villa Olivia IL,Illinois,7,7,15,0.4,6,0.5,7.5,0.1,1.5,40.63,-89.39
Wachusett Mountain MA,Massachusetts ,8,22,110,0.3,33,0.4,44,0.3,33,42.49,-71.88
Warner Canyon OR,Oregon,1,22,200,0.51,102,0.46,92,0.03,6,42.25,-120.37
Waterville Valley NH,New Hampshire ,10,52,220,0.2,44,0.6,132,0.2,44,43.96,-71.5
Welch Village MN,Minnesota,10,60,140,0.31,43.4,0.5,70,0.19,26.6,44.56,-92.74
West Mountain NY,New York,8,40,124,0.36,44.64,0.55,68.2,0.09,11.16,43.38,-73.96
Whaleback NH,New Hampshire ,4,30,85,0.28,23.8,0.39,33.15,0.33,28.05,44.82,-71.05
White Pass WA,Washington,8,47,1402,0.15,210.3,0.65,911.3,0.2,280.4,46.64,-121.39
White Pine WY,Wyoming,2,25,370,0.25,92.5,0.45,166.5,0.3,111,43.7,-121.59
Whitecap Mountains WI,Wisconsin,9,43,500,0.33,165,0.33,165,0.34,170,43.79,-88.79
Whiteface Mountain NY,New York,11,86,283,0.2,56.6,0.43,121.69,0.37,104.71,44.37,-73.89
Whitefish Mountain MT,Montana,13,98,3000,0.15,450,0.35,1050,0.5,1500,48.76,-114.59
Whitetail Mountain PA,Pennsylvania,9,23,109,0.22,23.98,0.53,57.77,0.25,27.25,41.33,-75.98
Wild Mountain MN,Minnesota,7,25,100,0.33,33,0.34,34,0.33,33,45.48,-92.72
Wildcat Mountain NH,New Hampshire ,5,49,225,0.25,56.25,0.45,101.25,0.3,67.5,44.27,-71.21
Willamette Pass OR,Oregon,6,29,555,0.21,116.55,0.45,249.75,0.34,188.7,43.61,-122.03
Willard Mountain NY,New York,4,14,85,0.3,25.5,0.4,34,0.3,25.5,43.02,-73.52
Wilmot Mountain WI,Wisconsin,8,25,120,0.3,36,0.3,36,0.4,48,43.79,-88.79
Windham Mountain NY,New York,10,49,269,0.3,80.7,0.45,121.05,0.25,67.25,42.36,-74.29
Winter Park CO,Colorado,24,142,3078,0.08,246.24,0.37,1138.86,0.55,1692.9,39.88,-105.75
Wintergreen VA,Virginia,7,26,129,0.23,29.67,0.35,45.15,0.42,54.18,37.89,-78.9
Winterplace WV,West Virginia ,11,28,90,0.41,36.9,0.44,39.6,0.15,13.5,37.88,-81.12
Wisp MD,Maryland,14,32,132,0.41,54.12,0.28,36.96,0.31,40.92,39.14,-76.7
Wolf Creek CO,Colorado,7,77,1600,0.2,320,0.45,720,0.35,560,37.4,-106.6
Wolf Mt UT,Utah,4,22,110,0.35,38.5,0.45,49.5,0.2,22,40.48,-111.02
Wolf Ridge NC,North Carolina,5,22,72,0.55,39.6,0.36,25.92,0.09,6.48,5.95,-82.5
Woodbury CT,Connecticut,6,15,100,0.33,33,0.34,34,0.33,33,41.55,-73.22
Woods Valley NY,New York,3,11,25,0.2,5,0.6,15,0.2,5,43.59,-73.67
Yawgoo RI,Rhode Island,4,12,36,0.5,18,0.3,10.8,0.2,7.2,41.52,-71.57
